カテゴリ,機能,今の担当,2027年1月〜,権限レベル,困ったときの連絡先,備考
オープン作業,タイムカードの打刻管理,,,A,マネージャー,押し忘れ時はレポート提出
オープン作業,店舗の解錠・施錠,,,C,店長,鍵の管理者を明確にする
オープン作業,レジ金の準備・確認,,,C,マネージャー / グループLINE,前日締め金額と照合
オープン作業,店内電気・照明の点灯,,,A,マネージャー,6か所を指差し確認
オープン作業,豆の香り確認（異常・入れ間違い防止）,,,B,グループLINE / マネージャー,異常臭は使用停止し報告
オープン作業,エスプレッソマシンの立ち上げ,,,B,先輩スタッフ,温度が安定するまで待つ
オープン作業,仕込み（ミルク等）の準備,,,B,マネージャー,当日分の量を用意
オープン作業,開店前チェックリストの実施,,,A,マネージャー,6項目を完了させる
接客,呼び込み・声かけ,,,A,店長,笑顔・会釈の徹底
接客,商品のおすすめ提案（価格帯の判断）,,,B,マネージャー,客層に応じて提案を変える
接客,ドリップバッグセットの単価アップ提案,,,A,マネージャー,トーク例に沿う
接客,入荷予定の問い合わせ対応,,,C,グループLINE / マネージャー,断定回答は禁止
接客,支払い対応（現金・カード・電子マネー）,,,A,マネージャー,全方式に対応
接客,クレーム・トラブルの一次対応,,,C,店長,判断に迷えば即エスカレーション
接客,予約・電話問い合わせ対応,,,B,マネージャー,対応記録を残す
補充,豆の補充（ホッパー・ドリップボトル）,,,A,補充セクション参照,規定量を守る
補充,牛乳・インフューズドミルクの仕込み,,,B,先輩スタッフ,特製ミルクのレシピ確認
補充,カップ・蓋の準備,,,A,マネージャー,在庫が切れないよう補充
補充,テイクアウトカップのシール貼り,,,A,マネージャー,貼り位置を統一
補充,豆のボトルの蓋付け作業,,,A,マネージャー,こぼれ防止で満タンにしない
補充,届いた物品の整理,,,B,マネージャー,検品して所定位置へ
補充,物品管理（毎月15日・30日）,,,B,マネージャー,棚卸しと記録
補充,在庫の記録（在庫管理ノート）,,,A,マネージャー,残量を毎日記入
発注,豆の発注,,,C,店長,発注先・数量の基準を定める
発注,牛乳・備品の発注,,,C,マネージャー,欠品前に発注
発注,物販・グッズの発注,,,C,店長,売れ筋を踏まえる
発注,発注先とのやり取り・納期管理,,,C,店長,窓口担当を明確にする
発注,請求・支払い処理,,,C,店長 / 経理,締め日を守る
掃除,開店前の清掃,,,A,マネージャー,椅子・カウンター・床
掃除,閉店後の清掃,,,A,マネージャー,ゴミ出し・床掃除
掃除,エスプレッソマシンの日次メンテナンス,,,B,先輩スタッフ,バックフラッシュ等
掃除,グラインダーの清掃,,,B,先輩スタッフ,豆カスの除去
掃除,トイレ・水回りの清掃,,,A,マネージャー,チェック表で管理
掃除,定期清掃（週次・月次）,,,B,マネージャー,担当と頻度を決める
掃除,ゴミの分別・廃棄,,,A,マネージャー,地域ルールに従う
シフト作成,シフト希望の収集,,,C,店長,提出期限を設定
シフト作成,シフト表の作成,,,C,店長,人員配置のバランス
シフト作成,シフトの調整・欠員対応,,,C,店長 / マネージャー,代替要員の確保
シフト作成,勤怠の集計,,,C,店長 / 経理,タイムカードと突合
MTG日程決め,参加者の日程調整,,,B,店長,全員の都合を確認
MTG日程決め,会場・オンライン設定,,,B,マネージャー,ツールと場所の手配
MTG日程決め,アジェンダ事前共有,,,B,店長,前日までに配布
MTG進行方法,アジェンダの作成,,,C,店長,議題と時間配分
MTG進行方法,当日の進行（ファシリテーション）,,,C,店長,時間管理
MTG進行方法,議事録の作成・共有,,,B,マネージャー,決定事項とToDoを明記
MTG進行方法,決定事項のフォローアップ,,,B,店長,次回までの宿題管理
教育,新人トレーニング計画の作成,,,C,店長,3つの柱に沿う
教育,エスプレッソ実技の指導,,,C,先輩スタッフ,OKが出るまで実戦不可
教育,コーヒー知識の教育,,,B,先輩スタッフ,産地・精製・味の説明
教育,店舗オペレーションの教育,,,B,マネージャー,マニュアル全業務の習得
教育,確認テストの実施・合否判定,,,C,店長,合格基準を明確に
教育,教育動画・教材の管理,,,B,マネージャー,最新版を共有
店舗運営,売上の締め・日報作成,,,C,店長,毎日の締め処理
店舗運営,現金管理・両替,,,C,店長,金種を用意
店舗運営,SNS（Instagram等）の更新,,,B,マネージャー,投稿トーンを統一
店舗運営,オンラインショップの管理,,,C,店長,在庫と発送
店舗運営,入荷案内・顧客登録の案内,,,A,マネージャー,オンライン登録を案内
店舗運営,備品・消耗品の管理,,,B,マネージャー,在庫の可視化
店舗運営,マシン故障など緊急対応,,,C,店長,電源を切り即連絡
店舗運営,衛生管理・食品衛生の順守,,,C,店長,保健所ルールに準拠
店舗運営,近隣・ビル管理との連絡,,,C,店長,窓口を一本化
